invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,date,time,payment_method,rating
750-67-8428,D,San Jose,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08:00,Ewallet,9.1
226-31-3081,A,Philadelphia,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,9.6
631-41-3108,A,Phoenix,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23:00,Credit card,7.4
123-19-1176,B,New York,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33:00,Ewallet,8.4
373-73-7910,A,Chicago,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00,Ewallet,5.3
699-14-3026,B,Philadelphia,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30:00,Ewallet,4.1
355-53-5943,C,Los Angeles,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36:00,Ewallet,5.8
315-22-5665,D,Philadelphia,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,8
665-32-9167,A,New York,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15:00,Credit card,7.2
692-92-5582,A,Philadelphia,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27:00,Credit card,5.9
351-62-0822,D,Chicago,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07:00,Ewallet,4.5
529-56-3974,A,Dallas,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03:00,Cash,6.8
365-64-0515,C,New York,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00,Ewallet,7.1
252-56-2699,B,Chicago,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48:00,Ewallet,8.2
829-34-3910,C,San Diego,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,5.7
299-46-1805,B,New York,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19:00,Cash,4.5
656-95-9349,B,Los Angeles,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00,Credit card,4.6
765-26-6951,C,Houston,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00,Credit card,6.9
329-62-1586,C,Phoenix,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,8.6
319-50-3348,E,San Jose,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,4.4
300-71-4605,D,San Diego,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00,Ewallet,4.8
371-85-5789,A,New York,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40:00,Ewallet,5.1
273-16-6619,C,Philadelphia,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20:00,Credit card,4.4
636-48-8204,A,New York,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00,Ewallet,9.9
549-59-1358,C,San Diego,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36:00,Ewallet,6
227-03-5010,B,San Diego,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20:00,Credit card,8.5
649-29-6775,C,Chicago,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31:00,Cash,6.7
189-17-4241,A,Houston,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17:00,Credit card,7.7
145-94-9061,A,Phoenix,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48:00,Cash,9.6
848-62-7243,C,Dallas,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36:00,Cash,7.4
871-79-8483,D,Houston,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39:00,Credit card,4.8
149-71-6266,D,San Antonio,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43:00,Cash,4.5
640-49-2076,B,Phoenix,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49:00,Cash,5.1
595-11-5460,E,New York,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12:00,Credit card,5.1
183-56-6882,B,San Jose,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00,Ewallet,7.5
232-16-2483,E,Philadelphia,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28:00,Ewallet,6.8
129-29-8530,D,San Diego,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15:00,Ewallet,7
272-65-1806,A,Philadelphia,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17:00,Ewallet,4.7
333-73-7901,D,San Antonio,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24:00,Ewallet,7.6
777-82-7220,A,San Antonio,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01:00,Cash,7.7
280-35-5823,D,Chicago,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45:00,Ewallet,7.9
554-53-8700,C,San Diego,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00,Cash,6.3
354-25-5821,E,Los Angeles,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03:00,Cash,5.6
228-96-1411,A,Dallas,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,7.6
617-15-4209,A,San Jose,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47:00,Cash,7.2
132-32-9879,E,San Jose,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00:00,Cash,9.5
370-41-7321,E,San Jose,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24:00,Credit card,8.4
727-46-3608,D,San Antonio,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47:00,Ewallet,4.1
669-54-1719,E,Chicago,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45:00,Credit card,8.1
574-22-5561,A,Phoenix,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08:00,Ewallet,7.9
326-78-5178,C,Los Angeles,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00,Cash,9.5
162-48-8011,E,Chicago,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10:00,Cash,8.5
616-24-2851,C,San Diego,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42:00,Ewallet,6.5
778-71-5554,C,Los Angeles,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46:00,Credit card,6.1
242-55-6721,B,Los Angeles,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49:00,Ewallet,6.5
399-46-5918,D,San Antonio,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01:00,Cash,8.2
106-35-6779,C,Dallas,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26:00,Cash,5.8
635-40-6220,D,Los Angeles,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00,Ewallet,6.6
817-48-8732,D,New York,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55:00,Cash,5.4
120-06-4233,B,New York,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36:00,Cash,9.3
285-68-5083,A,Phoenix,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47:00,Credit card,10
803-83-5989,C,San Jose,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00,Ewallet,7
